>>12:47:16 : выставлено : Нет связи с транспортным модулем
>>12:47:16 : снято : Нет связи с транспортным модулем
>>12:47:24 : выставлено : Нет связи с транспортным модулем
>>12:47:25 : снято : Нет связи с транспортным модулем
>>12:47:27 : выставлено : Нет связи с транспортным модулем
>>12:47:30 : снято : Нет связи с транспортным модулем
>>12:47:31 : выставлено : Нет связи с транспортным модулем
>>12:47:42 : снято : Нет связи с транспортным модулем
>>12:47:48 : выставлено : Нет связи с транспортным модулем
>>12:47:49 : снято : Нет связи с транспортным модулем
>>12:47:56 : выставлено : Нет связи с транспортным модулем
>>12:47:56 : снято : Нет связи с транспортным модулем
>>12:48:03 : выставлено : Нет связи с транспортным модулем
>>12:48:08 : снято : Нет связи с транспортным модулем
>>12:48:16 : выставлено : Нет связи с транспортным модулем
>>12:48:21 : снято : Нет связи с транспортным модулем
>>12:48:25 : выставлено : Нет связи с транспортным модулем
>>12:48:30 : снято : Нет связи с транспортным модулем
>>12:48:40 : выставлено : Нет связи с транспортным модулем
>>12:48:42 : снято : Нет связи с транспортным модулем
>>12:48:53 : выставлено : Нет связи с транспортным модулем
>>12:48:53 : снято : Нет связи с транспортным модулем
>>12:48:59 : выставлено : Нет связи с транспортным модулем
>>12:49:00 : снято : Нет связи с транспортным модулем
>>12:49:19 : выставлено : Нет связи с транспортным модулем
>>12:49:21 : снято : Нет связи с транспортным модулем
>>12:49:25 : выставлено : Нет связи с транспортным модулем
>>12:49:26 : снято : Нет связи с транспортным модулем
>>12:49:29 : выставлено : Нет связи с транспортным модулем
>>12:49:30 : снято : Нет связи с транспортным модулем
>>12:49:32 : выставлено : Нет связи с транспортным модулем
>>12:49:35 : снято : Нет связи с транспортным модулем
>>12:49:45 : выставлено : Нет связи с транспортным модулем
>>12:49:46 : снято : Нет связи с транспортным модулем
>>12:49:52 : выставлено : Нет связи с транспортным модулем
>>12:49:54 : снято : Нет связи с транспортным модулем
>>12:50:08 : выставлено : Нет связи с транспортным модулем
>>12:50:17 : снято : Нет связи с транспортным модулем
>>12:50:19 : выставлено : Нет связи с транспортным модулем
>>12:50:23 : снято : Нет связи с транспортным модулем
>>12:50:37 : выставлено : Нет связи с транспортным модулем
>>12:50:41 : снято : Нет связи с транспортным модулем
>>12:50:43 : выставлено : Нет связи с транспортным модулем
