>>14:09:14 : снято : Нет связи с БПМ
>>14:09:16 : выставлено : Нет связи с БПМ
>>14:10:38 : снято : Нет связи с БПМ
>>14:10:40 : выставлено : Нет связи с БПМ
>>14:12:02 : снято : Нет связи с БПМ
>>14:12:04 : выставлено : Нет связи с БПМ
>>14:13:26 : снято : Нет связи с БПМ
>>14:13:28 : выставлено : Нет связи с БПМ
>>14:14:50 : снято : Нет связи с БПМ
>>14:14:52 : выставлено : Нет связи с БПМ
>>14:16:14 : снято : Нет связи с БПМ
>>14:16:16 : выставлено : Нет связи с БПМ
>>14:17:37 : снято : Нет связи с БПМ
>>14:17:39 : выставлено : Нет связи с БПМ
>>14:19:02 : снято : Нет связи с БПМ
>>14:19:04 : выставлено : Нет связи с БПМ
>>14:20:25 : снято : Нет связи с БПМ
>>14:20:27 : выставлено : Нет связи с БПМ
>>14:33:42 : выставлено : Нет охлаждения магнетрона
>>14:33:42 : выставлено : Нет охлаждения ТМН
>>14:33:42 : выставлено : Нет охлаждения шлюза
>>14:33:42 : выставлено : Нет давления в пневмосети
>>14:33:42 : выставлено : ТМН: предупреждение по температуре
