>>10:32:32 : выставлено : Нет связи с транспортным модулем
>>10:32:33 : снято : Нет связи с транспортным модулем
>>10:32:35 : выставлено : Нет связи с транспортным модулем
>>10:32:35 : снято : Нет связи с транспортным модулем
>>10:32:37 : выставлено : Нет связи с транспортным модулем
>>10:32:38 : снято : Нет связи с транспортным модулем
>>10:32:39 : выставлено : Нет связи с транспортным модулем
>>10:32:39 : снято : Нет связи с транспортным модулем
>>10:32:40 : выставлено : Нет связи с транспортным модулем
>>10:32:41 : снято : Нет связи с транспортным модулем
>>10:32:43 : выставлено : Нет связи с транспортным модулем
>>10:32:44 : снято : Нет связи с транспортным модулем
>>10:32:48 : выставлено : Нет связи с транспортным модулем
>>10:32:49 : снято : Нет связи с транспортным модулем
>>10:32:52 : выставлено : Нет связи с транспортным модулем
>>10:32:53 : снято : Нет связи с транспортным модулем
>>10:32:55 : выставлено : Нет связи с транспортным модулем
>>10:32:55 : снято : Нет связи с транспортным модулем
>>10:32:57 : выставлено : Нет связи с транспортным модулем
>>10:32:58 : снято : Нет связи с транспортным модулем
>>10:33:00 : выставлено : Нет связи с транспортным модулем
>>10:33:01 : снято : Нет связи с транспортным модулем
>>10:33:04 : выставлено : Нет связи с транспортным модулем
>>10:33:05 : снято : Нет связи с транспортным модулем
>>10:33:06 : выставлено : Нет связи с транспортным модулем
>>10:33:06 : снято : Нет связи с транспортным модулем
>>10:33:07 : выставлено : Нет связи с транспортным модулем
>>10:33:08 : снято : Нет связи с транспортным модулем
>>10:33:11 : выставлено : Нет связи с транспортным модулем
>>10:33:12 : снято : Нет связи с транспортным модулем
>>10:33:14 : выставлено : Нет связи с транспортным модулем
>>10:33:14 : снято : Нет связи с транспортным модулем
>>10:33:16 : выставлено : Нет связи с транспортным модулем
>>10:33:17 : снято : Нет связи с транспортным модулем
>>10:33:19 : выставлено : Нет связи с транспортным модулем
>>10:33:21 : снято : Нет связи с транспортным модулем
>>10:33:22 : выставлено : Нет связи с транспортным модулем
>>10:33:22 : снято : Нет связи с транспортным модулем
>>10:33:26 : выставлено : Нет связи с транспортным модулем
>>10:33:26 : снято : Нет связи с транспортным модулем
>>10:33:28 : выставлено : Нет связи с транспортным модулем
>>10:33:29 : снято : Нет связи с транспортным модулем
>>10:33:31 : выставлено : Нет связи с транспортным модулем
>>10:33:31 : снято : Нет связи с транспортным модулем
>>10:33:32 : выставлено : Нет связи с транспортным модулем
>>10:33:33 : снято : Нет связи с транспортным модулем
>>10:33:35 : выставлено : Нет связи с транспортным модулем
>>10:33:36 : снято : Нет связи с транспортным модулем
>>10:33:38 : выставлено : Нет связи с транспортным модулем
>>10:33:39 : снято : Нет связи с транспортным модулем
>>10:33:45 : выставлено : Нет связи с транспортным модулем
