>>16:30:09 : снято : Нет связи с транспортным модулем
>>16:30:34 : выставлено : Нет связи с транспортным модулем
>>16:30:35 : снято : Нет связи с транспортным модулем
>>16:30:36 : выставлено : Нет связи с транспортным модулем
>>16:30:37 : снято : Нет связи с транспортным модулем
>>16:30:40 : выставлено : Нет связи с транспортным модулем
>>16:30:41 : снято : Нет связи с транспортным модулем
>>16:30:44 : выставлено : Нет связи с транспортным модулем
>>16:30:45 : снято : Нет связи с транспортным модулем
>>16:31:34 : выставлено : Нет связи с транспортным модулем
>>16:31:35 : снято : Нет связи с транспортным модулем
>>16:31:54 : выставлено : Нет связи с транспортным модулем
>>16:31:55 : снято : Нет связи с транспортным модулем
>>16:32:14 : выставлено : Нет связи с транспортным модулем
>>16:32:15 : снято : Нет связи с транспортным модулем
>>16:32:19 : выставлено : Нет связи с транспортным модулем
>>16:32:20 : снято : Нет связи с транспортным модулем
>>16:32:25 : выставлено : Нет связи с транспортным модулем
>>16:32:26 : снято : Нет связи с транспортным модулем
>>16:33:24 : выставлено : Нет связи с транспортным модулем
>>16:33:25 : снято : Нет связи с транспортным модулем
>>16:34:58 : выставлено : Нет связи с транспортным модулем
>>16:34:59 : снято : Нет связи с транспортным модулем
>>16:35:16 : выставлено : Нет связи с транспортным модулем
>>16:35:16 : снято : Нет связи с транспортным модулем
>>16:37:15 : выставлено : Нет связи с транспортным модулем
>>16:37:16 : снято : Нет связи с транспортным модулем
>>16:38:50 : выставлено : Нет связи с транспортным модулем
>>16:38:50 : снято : Нет связи с транспортным модулем
>>16:38:56 : выставлено : Нет связи с транспортным модулем
>>16:38:57 : снято : Нет связи с транспортным модулем
